MMTC Name,Dispensing Locations,Medical Marijuana (mgs THC),Low-THC Cannabis (mgs CBD),Marijuana in a Form for Smoking (oz),Report Date
VidaCann,26,7088852,543410,3599.789,2024-04-19
Sanctuary Cannabis,23,5243653,87992,3001.679,2024-04-19
GrowHealthy,18,7576111,0,3301.48,2024-04-19
"GTI Florida, LLC",16,6901144,180189,3185.252,2024-04-19
Cannabist,14,3818690,70730,1299.719,2024-04-19
Sunburn,12,9963128,2950,1821.661,2024-04-19
Insa Insa,10,1555476,0,960.127,2024-04-19
Jungle Boys,8,1726226,0,3251.423,2024-04-19
The Flowery,7,8630640,0,3317.237,2024-04-19
"Cookies Florida, Inc.",7,1204595,0,1088.215,2024-04-19
House of Platinum Cannabis,4,1101717,17535,512.695,2024-04-19
Goldflower Cannabis,3,775556,0,782.08,2024-04-19
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-04-19
Revolution Florida,0,0,0,0.0,2024-04-19
"Prosperity Medical, LLC",0,0,0,0.0,2024-04-19
Trulieve,134,107220486,475596,44268.272,2024-04-12
MÜV,74,31103287,133136,8180.711,2024-04-12
Ayr Ayr,64,44213891,426002,5676.867,2024-04-12
Curaleaf,61,42336808,250900,11272.048,2024-04-12
Surterra Wellness,45,33285940,1098754,6446.406,2024-04-12
Green Dragon,37,2624750,4727,1324.259,2024-04-12
FLUENT,35,14389902,81816,3909.718,2024-04-12
Sunnyside*,33,10626992,127494,5435.892,2024-04-12
VidaCann,26,5793819,689529,3337.826,2024-04-12
Sanctuary Cannabis,23,5639397,106350,3147.325,2024-04-12
GrowHealthy,18,8908953,0,3086.135,2024-04-12
"GTI Florida, LLC",15,5572815,85195,2585.708,2024-04-12
Cannabist,14,3790268,52383,1445.472,2024-04-12
Sunburn,11,7422971,1462,1821.439,2024-04-12
Insa Insa,10,1480163,0,874.853,2024-04-12
Jungle Boys,8,1788883,0,2649.119,2024-04-12
The Flowery,7,7877627,1953,3074.546,2024-04-12
"Cookies Florida, Inc.",7,954541,0,1044.073,2024-04-12
House of Platinum Cannabis,4,277100,7474,252.343,2024-04-12
Goldflower Cannabis,3,529523,0,345.292,2024-04-12
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-04-12
Revolution Florida,0,0,0,0.0,2024-04-12
"Prosperity Medical, LLC",0,0,0,0.0,2024-04-12
Trulieve,134,103794332,538310,42993.863,2024-04-05
MÜV,74,29817000,164362,8787.583,2024-04-05
Ayr Ayr,63,51420447,550987,6806.642,2024-04-05
Curaleaf,61,46266991,268100,12459.627,2024-04-05
Surterra Welln ess,45,35727019,1923341,6819.383,2024-04-05
Green Dragon,37,2694009,2340,1299.645,2024-04-05
FLUENT,35,17579851,87721,3480.436,2024-04-05
Sunnyside*,33,10300260,207657,5464.055,2024-04-05
VidaCann,26,5711103,493712,3423.799,2024-04-05
Sanctuary Cannabis,23,5139589,86999,3538.851,2024-04-05
GrowHealthy,18,7664427,0,3115.408,2024-04-05
GTI (Rise Dispensaries),15,5742542,117342,2720.693,2024-04-05
Cannabist,14,3175806,55927,1581.151,2024-04-05
Sunburn,11,9803073,8692,2388.493,2024-04-05
Insa – Cannabis for Real Life,10,1862195,0,851.736,2024-04-05
Jungle Boys,8,2233157,0,2834.148,2024-04-05
The Flowery,7,6070731,0,2423.796,2024-04-05
"Cookies Florida, Inc.",7,1171565,0,1006.973,2024-04-05
House of Platinum Cannabis,4,336831,12671,201.867,2024-04-05
Gold flower Cannabis,3,602453,0,344.526,2024-04-05
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-04-05
Revolution Florida,0,0,0,0.0,2024-04-05
Trulieve,134,106083045,659339,44161.588,2024-03-29
MÜV,74,35860267,171031,8993.98,2024-03-29
Ayr Ayr,63,47164206,568268,5655.952,2024-03-29
Curaleaf,61,55150479,203100,11894.114,2024-03-29
Surterra Welln ess,45,28164471,1442862,7315.706,2024-03-29
Green Dragon,37,2814840,2876,1531.238,2024-03-29
FLUENT,35,16491485,103631,4014.928,2024-03-29
Sunnyside*,33,10171607,258479,5546.488,2024-03-29
VidaCann,26,6271046,90431,3517.192,2024-03-29
Sanctuary Cannabis,23,5274953,89147,3086.269,2024-03-29
GrowHealthy,18,8144129,0,3200.381,2024-03-29
GTI (Rise Dispensaries),15,5459108,106210,2599.318,2024-03-29
Cannabist,14,3043625,69842,1252.898,2024-03-29
Sunburn,11,8226575,8535,1779.64,2024-03-29
Insa – Cannabis for Real Life,10,1341879,0,764.917,2024-03-29
Jungle Boys,8,1781344,0,2831.946,2024-03-29
The Flowery,7,5547144,0,2007.288,2024-03-29
"Cookies Florida, Inc.",7,1396789,0,932.383,2024-03-29
House of Platinum Cannabis,4,337079,0,253.614,2024-03-29
Gold flower Cannabis,2,899456,0,357.054,2024-03-29
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-03-29
Revolution Florida,0,0,0,0.0,2024-03-29
Trulieve,133,114361028,520187,44026.427,2024-03-22
MÜV,74,31949763,209400,8271.515,2024-03-22
Ayr Ayr,64,45037660,412370,5741.0,2024-03-22
Curaleaf,61,34574837,156500,12890.455,2024-03-22
Surterra Welln ess,45,31893731,1389356,7708.06,2024-03-22
Green Dragon,37,3157029,3891,1577.194,2024-03-22
FLUENT,35,17522552,112188,3983.235,2024-03-22
Sunnyside*,33,10016650,288420,5532.388,2024-03-22
VidaCann,26,7487258,97455,3436.019,2024-03-22
Sanctuary Cannabis,23,5190295,106290,3171.745,2024-03-22
GrowHealthy,18,8395389,0,3227.695,2024-03-22
GTI (Rise Dispensaries),15,6141399,173503,3023.514,2024-03-22
Cannabist,14,3074340,81902,1232.704,2024-03-22
Sunburn,11,9178452,6541,2020.245,2024-03-22
Insa – Cannabis for Real Life,10,1398174,0,759.608,2024-03-22
Jungle Boys,8,2363310,0,2794.7,2024-03-22
The Flowery,7,6212451,0,2358.128,2024-03-22
"Cookies Florida, Inc.",7,1287444,0,888.83,2024-03-22
House of Platinum Cannabis,4,402623,0,255.228,2024-03-22
Gold flower Cannabis,2,613678,0,368.576,2024-03-22
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-03-22
Revolution Florida,0,0,0,0.0,2024-03-22
MÜV,74,31495301,249714,8968.609,2024-03-15
Ayr Ayr,64,47771778,450564,6527.815,2024-03-15
Curaleaf,61,43186813,215300,8789.22,2024-03-15
Surterra Welln ess,45,28865370,1304963,7954.727,2024-03-15
Green Dragon,37,3296634,2620,1538.738,2024-03-15
FLUENT,35,16628371,61846,3380.853,2024-03-15
VidaCann,26,6736660,84193,3378.674,2024-03-15
GrowHealthy,18,7760107,0,3406.958,2024-03-15
GTI (Rise Dispensaries),15,5607737,99168,2972.225,2024-03-15
"Cannabist 14 3,058,",182,83194,1185,0.844,2024-03-15
Sunburn,11,7977630,0,1948.631,2024-03-15
Insa – Cannabis for Real Life,9,1507489,0,755.393,2024-03-15
Jungle Boys,8,1930672,0,2633.404,2024-03-15
The Flowery,7,5410885,0,2142.695,2024-03-15
"Cookies Florida, Inc.",6,1430415,0,869.164,2024-03-15
House of Platinum Cannabis,4,419975,0,290.575,2024-03-15
Gold flower Cannabis,2,696953,0,281.263,2024-03-15
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-03-15
Revolution Florida,0,0,0,0.0,2024-03-15
Trulieve,133,107512481,454713,40139.806,2024-03-08
MÜV,74,31247629,289536,9379.68,2024-03-08
Ayr Ayr,64,49164720,454247,6595.014,2024-03-08
Curaleaf,61,37451319,177396,8532.072,2024-03-08
Surterra Welln ess,45,30678579,1354633,6941.946,2024-03-08
Green Dragon,37,3508131,5498,1641.534,2024-03-08
FLUENT,35,16994874,50837,3325.5,2024-03-08
Sunnyside*,33,10097121,194801,5698.73,2024-03-08
VidaCann,26,6894201,87750,3758.548,2024-03-08
Sanctuary Cannabis,23,5175565,73519,4502.307,2024-03-08
GrowHealthy,18,8430051,681,3078.508,2024-03-08
GTI (Rise Dispensaries),15,5187576,98039,2505.076,2024-03-08
Cannabist,14,3202836,118832,1209.074,2024-03-08
Sunburn,11,7092262,0,1759.005,2024-03-08
Insa – Cannabis for Real Life,9,1276588,0,785.365,2024-03-08
Jungle Boys,8,2544852,0,2746.447,2024-03-08
The Flowery,7,5218282,0,2479.424,2024-03-08
"Cookies Florida, Inc.",6,1154155,0,658.44,2024-03-08
House of Platinum Cannabis,4,389762,0,265.809,2024-03-08
Gold flower Cannabis,2,916283,0,278.672,2024-03-08
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-03-08
Revolution Florida,0,0,0,0.0,2024-03-08
Trulieve,132,109253704,516092,44260.994,2024-03-01
MÜV,74,30566353,299924,9765.989,2024-03-01
Ayr Ayr,64,47528239,450675,6169.737,2024-03-01
Curaleaf,61,44684073,373300,11492.068,2024-03-01
Surterra Welln ess,45,38448994,1452797,7291.598,2024-03-01
Green Dragon,37,4117160,8690,1466.622,2024-03-01
FLUENT,35,16513906,72178,2901.789,2024-03-01
Sunnyside*,33,9834570,172902,5572.828,2024-03-01
VidaCann,26,6706445,103722,3420.902,2024-03-01
Sanctuary Cannabis,23,5347337,102048,4915.513,2024-03-01
GrowHealthy,18,6867746,0,2471.322,2024-03-01
GTI (Rise Dispensaries),15,5731683,113706,2607.715,2024-03-01
Cannabist,14,3244276,77489,1215.557,2024-03-01
Sunburn,11,9088670,0,2022.866,2024-03-01
Insa – Cannabis for Real Life,9,1141586,0,648.505,2024-03-01
Jungle Boys,8,2011774,0,2659.178,2024-03-01
The Flowery,7,6691874,0,2378.065,2024-03-01
"Cookies Florida, Inc.",5,1210829,0,601.535,2024-03-01
House of Platinum Cannabis,4,559384,730,156.82,2024-03-01
Gold flower Cannabis,1,790957,0,208.742,2024-03-01
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-03-01
Revolution Florida,0,0,0,0.0,2024-03-01
Trulieve,132,118055484,520766,40723.61,2024-02-23
MÜV,74,29453542,267401,9658.332,2024-02-23
Ayr Ayr,63,45041137,513381,5970.69,2024-02-23
Curaleaf,61,44060578,220500,11070.946,2024-02-23
Surterra Welln ess,45,30493557,1094568,6888.162,2024-02-23
Green Dragon,37,3428281,2165,1623.771,2024-02-23
FLUENT,35,14568362,70587,3473.312,2024-02-23
Sunnyside*,33,9854274,266968,5551.334,2024-02-23
VidaCann,26,5979343,147040,3343.574,2024-02-23
Sanctuary Cannabis,23,5220397,102608,3980.134,2024-02-23
GrowHealthy,18,7178205,0,2481.562,2024-02-23
GTI (Rise Dispensaries),15,5143813,57699,2577.763,2024-02-23
Cannabist,14,3172489,83968,1290.813,2024-02-23
Sunburn,11,7776898,0,1858.724,2024-02-23
Insa – Cannabis for Real Life,9,1090434,0,703.581,2024-02-23
Jungle Boys,8,1906762,0,2474.126,2024-02-23
The Flowery,7,5599360,0,2421.396,2024-02-23
"Cookies Florida, Inc.",5,1304344,0,478.763,2024-02-23
House of Platinum Cannabis,4,342006,0,231.34,2024-02-23
Gold flower Cannabis,1,720739,0,213.861,2024-02-23
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-02-23
Revolution Florida,0,0,0,0.0,2024-02-23
Trulieve,131,106094239,460738,42426.802,2024-02-16
MÜV,74,29572107,238659,9324.416,2024-02-16
Ayr Ayr,63,43526716,157627,5758.875,2024-02-16
Curaleaf,61,38311879,200600,10744.194,2024-02-16
Surterra Welln ess,45,31648646,989219,7631.096,2024-02-16
Green Dragon,37,3424307,1081,1595.741,2024-02-16
FLUENT,34,13517799,70426,2782.793,2024-02-16
Sunnyside*,33,9046217,273229,5291.732,2024-02-16
VidaCann,26,6553294,130067,3318.979,2024-02-16
Sanctuary Cannabis,23,5014039,52098,3914.163,2024-02-16
GrowHealthy,18,6305450,0,2394.264,2024-02-16
Cannabist,14,3622207,129714,1331.45,2024-02-16
GTI (Rise Dispensaries),14,5386867,95381,2299.047,2024-02-16
Sunburn,11,8590632,0,1897.816,2024-02-16
Insa – Cannabis for Real Life,9,1084508,0,633.528,2024-02-16
Jungle Boys,8,1831742,0,2354.443,2024-02-16
The Flowery,7,4862939,0,1979.507,2024-02-16
"Cookies Florida, Inc.",5,1110637,0,482.357,2024-02-16
House of Platinum Cannabis,4,407972,4227,317.355,2024-02-16
Gold flower Cannabis,1,503825,0,192.405,2024-02-16
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-02-16
Revolution Florida,0,0,0,0.0,2024-02-16
Trulieve,131,105967463,524205,42105.291,2024-02-09
MÜV,74,29875371,217038,9927.739,2024-02-09
Ayr Ayr,63,46489460,105076,6214.722,2024-02-09
Curaleaf,61,43705247,250000,10653.719,2024-02-09
Surterra Welln ess,45,31714233,1495126,7036.501,2024-02-09
Green Dragon,37,3375857,3215,1451.43,2024-02-09
FLUENT,34,16444492,82141,3754.416,2024-02-09
Sunnyside*,33,9015850,148839,5645.657,2024-02-09
VidaCann,26,5724777,70919,3346.077,2024-02-09
Sanctuary Cannabis,23,4986021,72402,3357.385,2024-02-09
GrowHealthy,18,6800950,0,1990.196,2024-02-09
Cannabist,14,3271632,110568,1141.728,2024-02-09
GTI (Rise Dispensaries),14,4763749,70062,2277.992,2024-02-09
Sunburn,11,8912980,0,1971.202,2024-02-09
Insa – Cannabis for Real Life,9,1261668,0,821.301,2024-02-09
Jungle Boys,8,2040718,0,2613.733,2024-02-09
The Flowery,7,6351760,0,2279.132,2024-02-09
"Cookies Florida, Inc.",5,1158937,0,487.206,2024-02-09
House of Platinum Cannabis,4,582029,0,417.145,2024-02-09
Gold flower Cannabis,1,555588,0,213.173,2024-02-09
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-02-09
Revolution Florida,0,0,0,0.0,2024-02-09
Trulieve,131,107860505,404265,39750.276,2024-02-02
MÜV,74,33293620,267472,10053.417,2024-02-02
Ayr Ayr,63,44540881,100187,6283.465,2024-02-02
Curaleaf,61,42919500,278000,11338.759,2024-02-02
Surterra Welln ess,45,29172507,1025791,7957.522,2024-02-02
Green Dragon,37,3379087,3800,1432.699,2024-02-02
FLUENT,34,17253869,111030,3839.805,2024-02-02
Sunnyside*,33,8428656,107629,5088.63,2024-02-02
VidaCann,26,5870518,71856,3190.368,2024-02-02
Sanctuary Cannabis,23,4790572,131578,3334.902,2024-02-02
GrowHealthy,18,6459387,0,2078.23,2024-02-02
Cannabist,14,2890967,83582,1347.113,2024-02-02
GTI (Rise Dispensaries),14,5144757,152287,2419.362,2024-02-02
Sunburn,11,9525034,0,2172.373,2024-02-02
Insa – Cannabis for Real Life,9,1400033,0,818.676,2024-02-02
Jungle Boys,8,2234973,0,2739.603,2024-02-02
The Flowery,7,5900199,0,2561.181,2024-02-02
"Cookies Florida, Inc.",5,1080471,1407,504.951,2024-02-02
House of Platinum Cannabis,4,475381,0,213.053,2024-02-02
Gold flower Cannabis,1,679462,0,178.719,2024-02-02
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-02-02
Revolution Florida,0,0,0,0.0,2024-02-02
Trulieve,131,112250445,469231,43258.627,2024-01-26
MÜV,74,29226783,209277,9578.776,2024-01-26
Ayr Ayr,63,40504434,135137,6215.734,2024-01-26
Curaleaf,61,40413172,233300,9449.61,2024-01-26
Surterra Welln ess,45,31452802,1310013,6739.823,2024-01-26
Green Dragon,37,3303096,1428,1115.726,2024-01-26
FLUENT,34,13004222,68573,3491.102,2024-01-26
Sunnyside*,33,8000908,136739,5064.853,2024-01-26
VidaCann,26,5810363,79538,2895.772,2024-01-26
Sanctuary Cannabis,23,4183213,57204,3710.266,2024-01-26
GrowHealthy,18,6149671,654,2300.308,2024-01-26
Cannabist,14,3069214,111057,1207.338,2024-01-26
GTI (Rise Dispensaries),14,4342385,103803,2056.007,2024-01-26
Sunburn,11,6162287,0,2480.223,2024-01-26
Insa – Cannabis for Real Life,9,1268933,0,891.94,2024-01-26
Jungle Boys,8,2398628,0,2652.716,2024-01-26
The Flowery,7,5719435,0,1884.994,2024-01-26
"Cookies Florida, Inc.",5,945490,0,424.498,2024-01-26
House of Platinum Cannabis,4,601984,8042,230.112,2024-01-26
Gold flower Cannabis,1,460141,0,204.741,2024-01-26
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-01-26
Revolution Florida,0,0,0,0.0,2024-01-26
Trulieve,131,107641395,490809,38426.603,2024-01-19
MÜV,74,32049957,198437,9812.486,2024-01-19
Ayr Ayr,63,46213549,156893,6264.919,2024-01-19
Curaleaf,61,36344971,224900,10017.469,2024-01-19
Surterra Welln ess,45,35007942,1209177,6689.712,2024-01-19
Green Dragon,37,3054877,106,1159.995,2024-01-19
FLUENT,34,13713841,67070,3616.133,2024-01-19
Sunnyside*,33,8411279,116196,5183.852,2024-01-19
VidaCann,26,5711755,61929,3197.104,2024-01-19
Sanctuary Cannabis,22,4391624,65290,3590.337,2024-01-19
GrowHealthy,18,7887525,218,2952.09,2024-01-19
Cannabist,14,3443489,88801,1323.357,2024-01-19
GTI (Rise Dispensaries),14,4397787,83125,2257.838,2024-01-19
Sunburn,11,5307412,0,2371.331,2024-01-19
Insa – Cannabis for Real Life,9,1987843,0,1061.48,2024-01-19
Jungle Boys,8,2038542,0,2608.585,2024-01-19
The Flowery,7,6405920,0,2025.901,2024-01-19
"Cookies Florida, Inc.",5,1023380,0,519.224,2024-01-19
House of Platinum Cannabis,4,454798,0,238.077,2024-01-19
Gold flower Cannabis,1,571791,0,209.081,2024-01-19
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-01-19
Revolution Florida,0,0,0,0.0,2024-01-19
Trulieve,131,99929676,451026,40564.7,2024-01-12
MÜV,74,30321477,201986,8325.65,2024-01-12
Ayr Ayr,63,44643382,148454,5670.84,2024-01-12
Curaleaf,61,34837617,242800,12958.72,2024-01-12
Surterra Welln ess,45,30720234,1339565,6593.62,2024-01-12
Green Dragon,37,3868903,0,1097.58,2024-01-12
FLUENT,34,12337027,79007,3612.36,2024-01-12
Sunnyside*,33,8197359,124750,4997.43,2024-01-12
VidaCann,26,5529067,79458,2880.4,2024-01-12
Sanctuary Cannabis,22,4182697,73814,3271.65,2024-01-12
GrowHealthy,18,7481614,0,3173.31,2024-01-12
Cannabist,14,3083068,99706,881.267,2024-01-12
GTI (Rise Dispensaries),14,2814665,26399,1670.37,2024-01-12
Sunburn,11,5342328,0,2346.34,2024-01-12
Insa – Cannabis for Real Life,9,1275378,0,891.745,2024-01-12
Jungle Boys,8,1995770,0,2604.87,2024-01-12
The Flowery,7,5039567,0,1784.28,2024-01-12
"Cookies Florida, Inc.",5,991539,0,407.476,2024-01-12
House of Platinum Cannabis,4,450967,0,220.512,2024-01-12
Gold flower Cannabis,1,400189,0,236.187,2024-01-12
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-01-12
Revolution Florida,0,0,0,0.0,2024-01-12
Trulieve,131,102007575,532935,38844.054,2024-01-05
MÜV,74,28659234,244165,9335.374,2024-01-05
Ayr Ayr,63,38166373,163499,5452.419,2024-01-05
Curaleaf,61,43936794,311900,12185.627,2024-01-05
Surterra Welln ess,45,28580509,979906,7476.705,2024-01-05
Green Dragon,37,2531495,2341,956.328,2024-01-05
FLUENT,33,12794914,72587,3624.829,2024-01-05
Sunnyside*,33,7744817,111907,4692.402,2024-01-05
VidaCann,26,5827479,62393,2807.651,2024-01-05
Sanctuary Cannabis,22,4609535,42733,3141.05,2024-01-05
GrowHealthy,18,5778847,554,2733.877,2024-01-05
Cannabist,14,3605749,91581,867.105,2024-01-05
GTI (Rise Dispensaries),14,3729880,21845,1921.702,2024-01-05
Sunburn,11,7606190,0,2123.215,2024-01-05
Insa – Cannabis for Real Life,9,1487943,0,1112.19,2024-01-05
Jungle Boys,8,2356075,0,2526.998,2024-01-05
The Flowery,7,5139268,0,1817.209,2024-01-05
"Cookies Florida, Inc.",5,964339,0,415.322,2024-01-05
House of Platinum Cannabis,4,454963,0,226.722,2024-01-05
Gold flower Cannabis,1,325871,0,196.761,2024-01-05
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-01-05
Revolution Florida,0,0,0,0.0,2024-01-05
Trulieve,131,114346831,550912,41454.982,2023-12-29
MÜV,74,31266052,198213,10643.902,2023-12-29
Ayr Ayr,63,37147221,180887,5281.751,2023-12-29
Curaleaf,61,46434187,296700,12261.624,2023-12-29
Surterra Welln ess,45,31416033,1346298,7096.561,2023-12-29
Green Dragon,36,3085880,1938,1086.882,2023-12-29
FLUENT,33,15435728,69012,3984.286,2023-12-29
Sunnyside*,33,8166832,127680,4235.448,2023-12-29
VidaCann,26,6226357,74740,2185.996,2023-12-29
Sanctuary Cannabis,22,4225496,32988,2881.771,2023-12-29
GrowHealthy,18,5684442,666,2818.123,2023-12-29
Cannabist,14,4190181,126125,1460.177,2023-12-29
GTI (Rise Dispensaries),14,4694078,44307,2505.778,2023-12-29
Sunburn,11,9039344,0,2238.865,2023-12-29
Insa – Cannabis for Real Life,9,1460892,0,897.635,2023-12-29
Jungle Boys,8,2168575,0,2625.038,2023-12-29
The Flowery,7,5347307,1477,2083.536,2023-12-29
"Cookies Florida, Inc.",5,1124334,0,534.902,2023-12-29
House of Platinum Cannabis,4,526166,1398,223.374,2023-12-29
Gold flower Cannabis,1,0,0,0.0,2023-12-29
"Planet 13 Florida, Inc.",0,0,0,0.0,2023-12-29
Revolution Florida,0,0,0,0.0,2023-12-29
Trulieve,131,138600972,755539,51665.609,2023-12-22
MÜV,74,33686639,289365,11021.723,2023-12-22
Ayr Ayr,63,39715385,215954,5130.907,2023-12-22
Curaleaf,61,45919034,286700,13127.94,2023-12-22
Surterra Welln ess,45,30489368,1068218,7691.673,2023-12-22
Green Dragon,36,3236971,2096,1194.547,2023-12-22
FLUENT,33,17022277,91852,4110.371,2023-12-22
Sunnyside*,33,9072270,153748,4835.459,2023-12-22
VidaCann,26,6501206,108901,2401.658,2023-12-22
Sanctuary Cannabis,22,5657940,72791,3375.518,2023-12-22
GrowHealthy,18,7351730,224,3500.091,2023-12-22
Cannabist,14,4643876,124874,1670.575,2023-12-22
GTI (Rise Dispensaries),14,4038412,46815,1941.94,2023-12-22
Sunburn,11,9229245,0,2389.211,2023-12-22
Insa – Cannabis for Real Life,9,1261578,0,772.155,2023-12-22
Jungle Boys,8,2598391,0,2829.103,2023-12-22
The Flowery,7,5927482,402,2464.759,2023-12-22
"Cookies Florida, Inc.",5,1211338,0,371.693,2023-12-22
House of Platinum Cannabis,4,591837,5022,282.8,2023-12-22
Gold flower Cannabis,1,0,0,0.0,2023-12-22
"Planet 13 Florida, Inc.",0,0,0,0.0,2023-12-22
Revolution Florida,0,0,0,0.0,2023-12-22
Trulieve,129,103837487,431575,40104.3,2023-12-15
MÜV,73,32398587,215206,11711.64,2023-12-15
Ayr Ayr,63,36739399,219169,4650.707,2023-12-15
Curaleaf,61,40655951,167900,11062.026,2023-12-15
Surterra Welln ess,45,31706620,1222180,6918.292,2023-12-15
Green Dragon,36,3903418,643,1165.582,2023-12-15
FLUENT,33,11802637,66715,3783.571,2023-12-15
Sunnyside*,33,7888777,112243,4634.552,2023-12-15
VidaCann,26,6594093,171467,2477.87,2023-12-15
Sanctuary Cannabis,21,5115054,54867,3236.993,2023-12-15
GrowHealthy,18,6887301,872,3735.798,2023-12-15
Cannabist,14,4502304,49818,1658.895,2023-12-15
GTI (Rise Dispensaries),14,3131698,17749,1674.392,2023-12-15
Sunburn,11,7701398,0,2417.438,2023-12-15
Insa – Cannabis for Real Life,9,1295306,0,761.546,2023-12-15
Jungle Boys,8,2612486,0,2618.158,2023-12-15
The Flowery,7,5680546,0,2083.867,2023-12-15
House of Platinum Cannabis,4,232017,0,430.68,2023-12-15
"Cookies Florida, Inc.",4,834784,0,328.127,2023-12-15
Gold Leaf,1,429046,0,155.195,2023-12-15
"Planet 13 Florida, Inc.",0,0,0,0.0,2023-12-15
Revolution Florida,0,0,0,0.0,2023-12-15
Trulieve,129,97002615,515755,42713.898,2023-12-08
MÜV,73,30627842,202106,10824.637,2023-12-08
Ayr Ayr,63,38341367,239885,4905.126,2023-12-08
Curaleaf,61,34163911,160000,9636.732,2023-12-08
Surterra Welln ess,45,29948214,1215229,7430.392,2023-12-08
Green Dragon,36,4000491,711,1277.981,2023-12-08
FLUENT,33,12306619,69100,4455.942,2023-12-08
Sunnyside*,33,8139710,122653,4264.178,2023-12-08
VidaCann,26,5283819,83739,2305.194,2023-12-08
Sanctuary Cannabis,21,4100039,63925,2618.371,2023-12-08
GrowHealthy,18,7619506,2110,3471.309,2023-12-08
Cannabist,14,3819927,35628,1385.214,2023-12-08
GTI (Rise Dispensaries),14,3400484,15178,1777.495,2023-12-08
Sunburn,11,7050168,0,2308.471,2023-12-08
Insa – Cannabis for Real Life,9,1320556,0,759.316,2023-12-08
Jungle Boys,8,2502102,0,2831.374,2023-12-08
The Flowery,7,4795347,0,2113.681,2023-12-08
House of Platinum Cannabis,4,219771,0,299.23,2023-12-08
"Cookies Florida, Inc.",4,791520,0,371.412,2023-12-08
Gold Leaf,1,500870,0,87.111,2023-12-08
"Planet 13 Florida, Inc.",0,0,0,0.0,2023-12-08
Revolution Florida,0,0,0,0.0,2023-12-08
Trulieve,129,123816142,692543,44893.322,2023-12-01
MÜV,73,29552927,256576,9184.252,2023-12-01
Ayr Ayr,62,40621732,306174,5234.17,2023-12-01
Curaleaf,61,44799493,257875,11118.548,2023-12-01
Surterra Welln ess,45,34590921,1643652,7969.459,2023-12-01
Green Dragon,36,3022388,102,1048.128,2023-12-01
FLUENT,33,14029442,94443,4535.289,2023-12-01
